Time,Potsdam Score,Enemy Score,Drago,Ansen,Ian,Theo,Kyle,Tanner,Daniel,Tyler,Kaden,Rhece,Game
,,,,,,,,,,2p attempt ,,,1
3:50,,,,,,,,,Out,,,In,1
,,,,,,,,,,steal,,,1
,,,,,,,,,,,3p attempt ,,1
,,,,,,,,rebound,,,2p attempt ,,1
2:40,,1,,,,,,foul ,,,,,1
,,,,,,,,rebound ,,,3p attempt ,,1
,,,,,,,,2p made,,,,,1
2:05,,2,,,,,,,,,,,1
1:41,3,,,,,,,,,3p made,,,1
1:29,,2,,,,,,,,,,,1
1:12,,,,,,,,2p made,,,assist,,1
,,,,,,,rebound,,,,,,1
,,,,,,,,,,3p attempt ,rebound ,,1
,,,,,,,2p attempt ,,,,,,1
,,,,,,,,rebound ,,,,,1
,,,,,,,3p attempt ,,,,,,1
,,,,,,,,,,,,,
BRU,,,,,,,,,,,,,2
Q1,,,,,,,,,,,,,2
8:00,,,In,In,In,In,,,In,,,,2
7:55,2,,2p made,,,,,,assist,,,,2
7:35,2,,,,2p made,,,,,,,,2
,,,rebound,,,,,,,,,,2
,,,3p attempt,steal,,turnover,,,,,,,2
,,,,steal,,,,,,,,,2
6:22,2,,,,assist,2p made,,,,,,,2
,,,rebound,,2p attempt,,,,,,,,2
5:15,,2,,,,,,,,,,,2
4:56,3,,,assist,,,,,3p made,,,,2
4:35,,2,,,,,,,,,,,2
4:25,2,,,,2p made,,,,,,,,2
,,,rebound,,,2p attempt,,,,,,,2
,,,rebound,,,,,,,,,,2
3:25,3,,,assist,3p made,,,,,,,,2
,,,rebound,,,,,,,,,,2
2:48,,,,,,,,,1 Ft,,,,2
2:47,,,,,,Out,,,,In,,,2
2:34,2,,2p made,,assist,,,,,,,,2
2:28,,,,,,In,,,Out,,,,2
2:24,,3,,,,,,,,,,,2
,,,,rebound,3p attempt,,,,,,,,2
2:01,2,,,2p made,,,,,,,,,2
,,,rebound,,,,,,,,,,2
1:43,2,,,,2 Ft,,,,,,,,2
,,,steal,,,,,,,,,,2
1:40,2,,assist,2p made,,,,,,,,,2
1:19,2,,2p made,,assist,,,,,,,,2
1:03,,,,Out,,,,In,,,,,2
0:58,,2,,,,,,,,,,,2
,,,,,3p attempt,,,rebound,,3p attempt,,,2
,,,,,3p attempt,,,,,,,,2
,,,,,steal,,,,,,,,2
0:08,2,,,,assist,2p made,,,,,,,2
0:01,,2,,,,,,,,,,,2
,,,,,,,,,,,,,2
Q2,,,,,,,,,,,,,2
8:00,,,In,In,In,In,,,In,,,,2
,,,,,,,,,steal,,,,2
7:32,3,,,,3p made,assist,,,,,,,2
,,,steal,block,,block,,,,,,,2
,,,,3p attempt,,,,,,,,,2
6:16,2,,,,assist,,,,2p made,,,,2
6:02,,3,,,,,,,,,,,2
,,,,turnover,,,,,,,,,2
5:45,,,,,,Out,,,,In,,,2
,,,,,steal,,,,,,,,2
5:30,,,,,2p made,,,,,,,,2
,,,,rebound,,,,,3p attempt,,,,2
,,,,,,,,,,steal,,,2
4:32,2,,,,2p made,,,,,,,,2
,,,rebound,rebound,3p attempt,,,,,,,,2
3:40,2,,,assist,2p made,,,,,,,,2
,,,,,steal,,,,,,,,2
3:24,2,,,,2p made,,,,,,,,2
,,,foul,,,,,,rebound,3p attempt,,,2
2:31,,,,,Out,In,,In,,,,,2
,,,rebound,,,,,,,,,,2
2:12,2,,,2p made,,,,,,,,,2
,,,rebound,,,,,,,,,,2
1:54,3,,3p made,,,,,,,assist,,,2
,,,,,,steal,,,,,,,2
1:37,,,Out,Out,,,,,,,In,In,2
,,,,,,,,steal,,3p attempt,,steal,2
,,,,,,,,,,2p attempt,,,2
,,,,,,,,,,3p attempt,,,2
Q3,,,,,,,,,,,,,2
