Time,Potsdam Score,Enemy Score,Drago,Ansen,Ian,Theo,Kyle,Tanner,Daniel,Tyler,Kaden,Rhece,Game
,,,,,2p attempt,,,,,,,,5
4:19,,3,,,,,,,,,,,5
3:58,2,,,,,,,,2p made,,,,5
3:57,1,,,,,,,,1 ft,,,,5
,,,,3p attempt,rebound,,,,,,,,5
3:20,2,,,,2p made,,,,,,,,5
,,,,rebound,3p attempt,,,,,,,,5
,,,,,rebound,,,,,,,,5
,,,,,2p attempt,,,,,,,,5
2:32,,2,,,,,,,,,,,5
2:15,1,,,,,2 ft,,,,,,,5
,,,,steal,,,,,,,,,5
1:55,3,,,,3p made,,,,,,,,5
,,,,,,rebound,,,,,,,5
1:20,2,,,,2p made,,,,,,,,5
,,,,block,,2p attempt,,,block,,,,5
,,,,2p attempt,,2p attempt,,,,,,,5
,,,,,,rebound,,,,,,,5
0:12,1,,,,,2 ft,,,,,,,5
,,,,,3p attempt,,,,,,,,5
Q3,,,,,,,,,,,,,5
8:00,,,In,In,In,In,,,In,,,,5
7:51,3,,,3p made,,,,,assist,,,,5
7:30,,2,,,,,,,,,,,5
7:23,3,,,,3p made,,,,,,,,5
6:30,1,,2 ft,,,,,,,,,,5
6:22,,2,,,,,,,,,,,5
,,,,3p attempt,rebound,,,,,,,,5
,,,,block,turnover,,,,,,,,5
5:51,,2,,,,,,,,,,,5
5:36,2,,2p made,,,,,,,,,,5
,,,,rebound,,,,,,,,,5
5:15,,,,,2p made,,,,,,,,5
5:01,,1,,,,,,,,,,,5
,,,,rebound,,,,,2p attempt,,,,5
4:41,2,,,2p made,,,,,,,,,5
,,,,,steal,,,,,,,,5
,,,2p attempt,,rebound,,,,,,,,5
4:22,,2,,,2p made,,,,,,,,5
,,,2p attempt,,,steal,,,,,,,5
,,,,,,rebound,,,,,,,5
4:10,2,,,,,2 ft,,,,,,,5
3:47,,2,,,,,,,,,,,5
3:48,2,,,,,2p made,,,assist,,,,5
,,,steal,rebound,turnover,steal,,,,,,,5
,,,,turnover,,,,,,,,,5
2:47,,,assist,2p made,,,,,,,,,5
,,,,,,block,,,turnover,,,,5
0:53,2,,,2p made,,,,,,,,,5
,,,,,,,,,steal,,,,5
0:31,2,,assist,2p made,,,,,,,,,5
,,,,steal,,rebound,,,,,,,5
,,,,2p attempt,,,,,,,,,5
Q4,,,,,,,,,,,,,5
8:00,,,In,In,In,In,,,In,,,,5
,,,,,,steal,,,,,,,5
7:50,,,assist,2p made,,,,,,,,,5
,,,,block,,,,,,,,,5
7:18,,2,,,,,,,,,,,5
,,,,,,2p attempt,,,,,,,5
7:04,1,,2 ft,,,,,,,,,,5
6:44,2,,,2p made,,,,,,,,,5
6:15,,2,,,,,,,,,,,5
5:54,2,,,2p made,,,,,,,,,5
,,,,,,steal,,,,,,,5
,,,,,,turnover,,,,,,,5
5:15,,,,,,,,,Out,In,,,5
,,,,,steal,,,,,,,,5
4:50,,,,Out,,,,In,,,,,5
4:41,2,,,,2p made,,,,,,,,5
4:23,,2,,,,,,,,,,,5
4:03,2,,,,,assist,,2p made,,,,,5
4:02,1,,,,,,,1 ft,,,,,5
4:01,,,Out,,,Out,,,,,In,In,5
,,,,,,,,rebound,,,,,5
3:46,2,,,,,,,assist,,,2p made,,5
,,,,,steal,,,,,,,,5
,,,,,3p attempt,,,,,,,,5
2:59,,2,,,,,,,,,,,5
,,,,,3p attempt,,,rebound,,,3p attempt,turnover,5
,,,,,,,,rebound,,,,,5
1:20,,,In,,Out,,,,,,,,5
1:01,2,,assist,,,,,2p made,,,,,5
0:30,,2,,,,,,,,,,,5
,,,2p attempt,,,,,rebound,,,,2p attempt,5
